model_id,method,ablation,task,steering_factor,topk,accuracy
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.01,0.54
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.03,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.05,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.07,0.74
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.09,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.1,0.86
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,10,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.01,0.22
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.03,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.05,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.07,0.84
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.09,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.1,0.86
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,8,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.01,0.48
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.03,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.05,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.07,0.56
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.09,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,6,1.0,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.01,0.42
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.03,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.05,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.07,0.7
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.09,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,5,1.0,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.01,0.02
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.03,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.05,0.64
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.07,0.76
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.09,0.88
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,4,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.01,0.74
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.03,0.86
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.05,0.3
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.07,0.68
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.09,0.24
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.1,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,0.5,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,2,1.0,0.62
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.01,0.48
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.03,0.2
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.05,0.52
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.07,0.68
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.09,0.44
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.1,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,0.5,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-long_to_harmless,1,1.0,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.01,0.54
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.03,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.05,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.07,0.76
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.09,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.1,0.9
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,0.5,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,10,1.0,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.01,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.03,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.05,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.07,0.52
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.09,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.1,0.9
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,0.5,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,8,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,0.01,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,0.03,0.92
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,0.05,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,0.07,0.64
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,0.09,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,0.5,1.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,6,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,0.01,0.02
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,0.03,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,0.05,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,0.07,0.86
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,0.09,0.94
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,5,1.0,0.98
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,0.01,0.02
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,0.03,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,0.05,0.64
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,0.07,0.66
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,0.09,0.76
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,0.1,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,4,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,0.01,0.56
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,0.03,0.7
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,0.05,0.3
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,0.07,0.72
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,0.09,0.46
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,0.1,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,2,1.0,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,0.01,0.48
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,0.03,0.04
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,0.05,0.46
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,0.07,0.8
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,0.09,0.24
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,0.1,0.78
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,0.5,0.96
SOLAR-10.7B-Instruct-v1.0,random,steer,from_harmful-single_to_harmless,1,1.0,0.82
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,0.07,0.019736842105263157
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,0.09,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,0.1,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,0.5,0.3355263157894737
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,10,1.0,0.10526315789473684
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,0.01,0.013157894736842105
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,0.03,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,0.07,0.03289473684210526
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,0.09,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,0.1,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,0.5,0.7368421052631579
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,8,1.0,0.24342105263157895
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,0.01,0.019736842105263157
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,0.05,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,0.07,0.03289473684210526
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,0.09,0.13157894736842105
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,0.1,0.13815789473684212
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,0.5,0.05263157894736842
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,6,1.0,0.05263157894736842
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,0.07,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,0.09,0.23684210526315788
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,0.1,0.013157894736842105
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,0.5,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,5,1.0,0.019736842105263157
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,0.07,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,0.09,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,0.1,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,0.5,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,4,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,0.01,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,0.07,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,0.09,0.09210526315789473
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,0.1,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,0.5,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,2,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,0.01,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,0.07,0.013157894736842105
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,0.09,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,0.1,0.3881578947368421
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,0.5,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-long_to_prose,1,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,0.03,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,0.07,0.013157894736842105
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,0.09,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,0.1,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,0.5,0.19078947368421054
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,10,1.0,0.4144736842105263
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,0.01,0.09868421052631579
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,0.07,0.039473684210526314
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,0.09,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,0.1,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,0.5,0.2894736842105263
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,8,1.0,0.28289473684210525
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,0.01,0.019736842105263157
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,0.05,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,0.07,0.09868421052631579
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,0.09,0.13815789473684212
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,0.1,0.05263157894736842
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,0.5,0.6578947368421053
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,6,1.0,0.046052631578947366
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,0.07,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,0.09,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,0.1,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,0.5,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,5,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,0.07,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,0.09,0.013157894736842105
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,0.1,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,0.5,0.7105263157894737
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,4,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.07,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.09,0.27631578947368424
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.1,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,0.5,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,2,1.0,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.01,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.03,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.05,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.07,0.006578947368421052
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.09,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.1,0.1513157894736842
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,0.5,0.0
SOLAR-10.7B-Instruct-v1.0,random,steer,from_verse-single_to_prose,1,1.0,0.0
